File ID,Expected Output,File,Dataset,Extracted Text,score,comments
invoice_recwT45kbPkb2I1jp,"{
  ""total_gross"": 12.64,
  ""total_net"": 10.62,
  ""business_name"": ""SSP Deutschland, The Squire 24, 60549 Frankfurt am Main DTE"",
  ""items"": [
    {
      ""name"": ""BK Menü Whopper"",
      ""price"": 11.39
    },
    {
      ""name"": ""BK Extra Cheese gr."",
      ""price"": 1.25
    }
  ]
}",invoice_recwT45kbPkb2I1jp.pdf (https://v5.airtableusercontent.com/v3/u/40/40/1745848800000/nYO-no8H1b0JU5D9jL_B2g/rIMxswyuGiU3LnHsc35ptTGTYzsTt7ZsIr8ne7j_TlnT5o8Jm5C4MzDDSsuMwUYwEvyfuyvWdowjNjVYxUJLmelJXLlgZL9744QSH5qFx7amA-rU84AT7EJKX9auHYyMQmu5lsz5yK9vBJW_d9K7w-gvvUhe6G6DTqdArWmid_MZsfMIWBPKVs09aV5SjeZn/u6WSABRq1zSB3YQrfpvlI06NCmUFsjD9LzONRKwxmcw),invoice,"

{
  ""total_gross"": 12.64,
  ""total_net"": 10.62,
  ""business_name"": ""Burger King Leipzig Hbf"",
  ""items"": [
    {
      ""name"": ""BK Menu Whopper"",
      ""price"": 11.39
    },
    {
      ""name"": ""BK Extra Cheese"",
      ""price"": 1.25
    },
    {
      ""name"": ""BK Cola Zero L"",
      ""price"": 2.02
    }
  ]
}
",72,
invoice_recx4wg6mwAac34bH,"{
  ""total_gross"": 15.48,
  ""total_net"": 13.01,
  ""business_name"": ""BURGER KING®"",
  ""items"": [
    {
      ""name"": ""Chili Cheese Nuggets 6 Stk."",
      ""price"": 2.99
    },
    {
      ""name"": ""Cheesy Rösti Lover Beef Double King Menü Klein"",
      ""price"": 12.49
    }
  ]
}",invoice_recx4wg6mwAac34bH.pdf (https://v5.airtableusercontent.com/v3/u/40/40/1745848800000/jFSFwv2eTjnztVHVapbQTQ/tPTaVd_pYsMPzUnCiixfAgaNzDjTKRs9DhhdErh58D9hmmfgb51z7C4mfhJa-yM_IoUfODsLcZSd3bFPcZot24Rf8-Lb3Dxe4W1c1J7WypHCqB3HJLaPAjo1k0uAfm11iheUFfusGirS7WpTAKUYccFbfIyLp7GcJ-9Q_AxCOJruMCsIIWCboZE3MLY4x-wy/7v9ZXx0koZqDWUCJVkdKj0LiuwI17lslWGGWEe5aW7s),invoice,"

{
  ""total_gross"": 16.48,
  ""total_net"": 13.01,
  ""business_name"": ""Burger King"",
  ""items"": [
    {
      ""name"": ""Chili Cheese Nuggets 6 Stk."",
      ""price"": 2.99
    },
    {
      ""name"": ""Cheesy Rösti Lover Beef Double"",
      ""price"": 12.49
    }
  ]
}
",93,Success: High similarity score
invoice_rec6jnwamPj8m1u5y,"{
  ""total_gross"": 131.70,
  ""total_net"": 110.67,
  ""business_name"": ""Brauhaus an der Thomaskirche"",
  ""items"": [
    {
      ""name"": ""Steinpilzcremesuppe"",
      ""price"": 17.80
    },
    {
      ""name"": ""Tomatensuppe"",
      ""price"": 15.00
    },
    {
      ""name"": ""Apfelschorle 0,5l"",
      ""price"": 11.00
    },
    {
      ""name"": ""Pils Thomask. 0,5l"",
      ""price"": 10.40
    },
    {
      ""name"": ""Schwarz Thomask. 0,5l"",
      ""price"": 20.80
    },
    {
      ""name"": ""Pizza Salame Prosc."",
      ""price"": 12.90
    },
    {
      ""name"": ""Pizza Tonno Cipolla"",
      ""price"": 12.90
    },
    {
      ""name"": ""Spaghetti Carbonara"",
      ""price"": 14.90
    },
    {
      ""name"": ""Gnocchi al Gorgonzol"",
      ""price"": 16.00
    }
  ]
}",invoice_rec6jnwamPj8m1u5y.pdf (https://v5.airtableusercontent.com/v3/u/40/40/1745848800000/sMXAPVz6WY3wKTesTG158g/WzH89NY0-0diI8FZckONBghQI7WkqDXyelM8j-9eM-N3M8srDlS6ztY3W-C9BfvHpmogVX7WDI8GmlJpQSFlpMk-fX-28RPXLZYu7iaUEWzgm8RCogNjF7LdYV9P6o6AFIt2R3trGsonOqlO0xffLSZfZUi72-mIwrG1atUb9pLzVOxiZcyCxij5-wjIfZ-Q/MpQtIfZy64Qo1q5UzbWrZgzdk6dFOayvewhFrgh8-Aw),invoice,"

{
  ""total_gross"": 131.70,
  ""total_net"": 110.87,
  ""business_name"": ""Brauhaus an der Thomaskirche"",
  ""items"": [
    {
      ""name"": ""Steinpilzcremesuppe"",
      ""price"": 17.80
    },
    {
      ""name"": ""Tomatensuppe"",
      ""price"": 15.00
    },
    {
      ""name"": ""Apfelschorle 0,5l"",
      ""price"": 11.00
    },
    {
      ""name"": ""Pils Thomask. 0,5l"",
      ""price"": 10.40
    },
    {
      ""name"": ""Schwarz Thomask. 0,5l"",
      ""price"": 20.80
    },
    {
      ""name"": ""Pizza Salame Prosc."",
      ""price"": 12.90
    },
    {
      ""name"": ""Pizza Tonno Cipolla"",
      ""price"": 12.90
    },
    {
      ""name"": ""Spaghetti Carbonara"",
      ""price"": 14.90
    },
    {
      ""name"": ""Gnocchi al Gorgonzol"",
      ""price"": 16.00
    }
  ]
}
",100,Success: High similarity score
invoice_recHWC7qGba0eRogA,"{
  ""total_gross"": 403.42,
  ""total_net"": 339.01,
  ""business_name"": ""Zweirad-Center Stadler, Straße des 18. Oktober 46, 04103 Leipzig"",
  ""items"": [
    {
      ""name"": ""Bremsscheibe 6-Loch 160mm, SMRT66 Metal/Resin"",
      ""price"": 19.99
    },
    {
      ""name"": ""Bremsscheibe 6-Loch 180mm, SMRT66 Metal/Resin"",
      ""price"": 21.99
    },
    {
      ""name"": ""Adapter Satz für Disc-Br mit Schrauben"",
      ""price"": 8.99
    },
    {
      ""name"": ""Scheibenbremse MT501 2-Kolben, HR, I-Spec II, Resin"",
      ""price"": 69.99
    },
    {
      ""name"": ""Scheibenbremse MT501 2-Kolben, VR, I-Spec II, Resin"",
      ""price"": 64.99
    },
    {
      ""name"": ""Kette CN-HG71 6/7/8-fach, 138 Glieder"",
      ""price"": 21.99
    },
    {
      ""name"": ""Kassette HG51 8-fach, 11-32 Zähne"",
      ""price"": 21.99
    },
    {
      ""name"": ""Bremsscheiben erneuern vorn zzgl. Material"",
      ""price"": 28.50
    },
{
      ""name"": ""Bremsscheiben erneuern hinten zzgl. Material"",
      ""price"": 28.50
    },
{
      ""name"": ""Hydraulische Bremsanlage montieren vorn&hinten zzgl. Mat"",
      ""price"": 76.00
    },{
      ""name"": ""Katte & Kassette wechseln zzgl. Material"",
      ""price"": 38.00
    },{
      ""name"": ""Klein- und Reinigungsmaterial"",
      ""price"": 2.49
    },{
      ""name"": ""Altteile dürfen entsorgt werden"",
      ""price"": 0.00
    }
  ]
}",invoice_recHWC7qGba0eRogA.pdf (https://v5.airtableusercontent.com/v3/u/40/40/1745848800000/VKCo4hGqwM1LnLZi8Sb-Ig/pCH2uw8uxBD0OguWZmQS6xOl7lFobftwIAMum9UOu14gFME7yOzJOUGFN8_SArkXOoep1u4yWpNIJQjD3k7rMRGys7LshyemVFKJxR-SxSFHx0o5qGZ10It3Z2xk_npTk7V7U1bnujXOiAQ0kgdjNPB0kzyKOQF-EPBvEvuokGK9KyOO7XCe7tCZPeqgiKN2/1GTLnUmkhUHYEhe_Zhk1z9GxIY-F0hgjto-E-J28b98),invoice,"

{
  ""total_gross"": 229.93,
  ""total_net"": 229.93,
  ""business_name"": ""Zweirad-Center Stadler Leipzig Alte Messe GmbH"",
  ""items"": [
    {
      ""name"": ""BREMSSCHEIBE 6-Loch 160MM, SMRT66 Metal/Resin"",
      ""price"": 19.99
    },
    {
      ""name"": ""BREMSSCHEIBE 6-Loch 180MM, SMRT66 Metal/Resin"",
      ""price"": 21.99
    },
    {
      ""name"": ""ADAPT. SATZ F DISC-BR MIT SCHRAUBEN"",
      ""price"": 8.99
    },
    {
      ""name"": ""Scheibenbremse MT501 2-Kolben,HR, I-Spec II, Resin"",
      ""price"": 69.99
    },
    {
      ""name"": ""Scheibenbremse MT501 2-Kolben,VR, I-Spec II, Resin"",
      ""price"": 64.99
    },
    {
      ""name"": ""Kette CN-HG71 6/7/8-fach, 138 Glieder"",
      ""price"": 21.99
    },
    {
      ""name"": ""KASSETTE HGS51 8F.11-32Z"",
      ""price"": 21.99
    }
  ]
}
",60,
invoice_rec9yGb4g2P2NHJda,"{
  ""total_gross"": 12.29,
  ""total_net"": 10.33,
  ""business_name"": ""Burger King"",
  ""items"": [
    {
      ""name"": ""Big King XXL® King Menü"",
      ""price"": 12.29
    }
  ]
}",invoice_rec9yGb4g2P2NHJda.pdf (https://v5.airtableusercontent.com/v3/u/40/40/1745848800000/Scm9CqbAynMrbAijicRU0Q/2hVBgzhktZDM3vXaEEvnP-tVtEiVJQ__PcbIpS8UAIyXqJLR4kpPBM_qzMBX9_mp7w1ZuGM8CeCCtMOUo5E_IIhDBHP_1FZ51_a78XkQ2DCzzcGBIK38tsio9fscLeSpMpSNbfXvEAL-jLBJMttmNSRTwIuCn6oJcDlJjMZw_gvIDMUaQvuh2xuvTar84dwJ/XL4oq62cYnQFEhs189n7QqPlrwwBYU17vTC6cWrcjMc),invoice,"

{
  ""total_gross"": 12.29,
  ""total_net"": 10.33,
  ""business_name"": ""BURGER KING®"",
  ""items"": [
    {
      ""name"": ""Big King XXL® King Menü"",
      ""price"": 12.29
    }
  ]
}
",94,Success: High similarity score
invoice_recYsN9Su9On0ER58,"{
  ""total_gross"": 15.79,
  ""total_net"": 13.28,
  ""business_name"": ""Burger King"",
  ""items"": [
    {
      ""name"": ""King's Emo D M"",
      ""price"": 15.79
    }
  ]
}",invoice_recYsN9Su9On0ER58.pdf (https://v5.airtableusercontent.com/v3/u/40/40/1745848800000/mIDILGUEuy-1aGrMsY0Hvg/Fha9IMramuquvjuuy1lkwUQk2MogigNItEo_XR3AsATQM7XH6aMX3wrFkRuXNcDMeCiDygYnRaNHiQR1sfz4OvIOAdDQPyQmCaKwID8HriKCtTQqWOTZkickydmfTbEq6O58r3I9pjTkAeTjJd4NkndVQLgAfFTKo3r9ovs5NOH6GBbeZZc0XQLpd1Nc_Lup/qc4c0XH6X7KJaPsEB2AgmKENaEpXmNugSktNh9thIaY),invoice,"

{
  ""total_gross"": 15.79,
  ""total_net"": 13.28,
  ""business_name"": ""Burger King"",
  ""items"": [
    {
      ""name"": ""King’s Enna DH"",
      ""price"": 15.79
    }
  ]
}
",96,Success: High similarity score
invoice_recVLrTGQIsXWavzz,"{
  ""total_gross"": 209.40,
  ""total_net"": 175.97,
  ""business_name"": ""Chito Gvrito"",
  ""items"": [
    {
      ""name"": ""Pils vom Fass 0,5"",
      ""price"": 10.40
    },
    {
      ""name"": ""Georgische Bier"",
      ""price"": 24.00
    },
    {
      ""name"": ""Tarchun 0,4"",
      ""price"": 32.50
    },
    {
      ""name"": ""tatara"",
      ""price"": 30.00
    },
    {
      ""name"": ""Vorspeise groß"",
      ""price"": 18.00
    },
    {
      ""name"": ""Brot"",
      ""price"": 3.00
    },
    {
      ""name"": ""O4 Adjaruli"",
      ""price"": 35.00
    },
    {
      ""name"": ""Chakapuli"",
      ""price"": 18.50
    },
    {
      ""name"": ""Soko Kezse Käse"",
      ""price"": 14.00
    },
    {
      ""name"": ""Schachlik Schwein"",
      ""price"": 18.00
    },
    {
      ""name"": ""kartoffel"",
      ""price"": 6.00
    }
  ]
}",invoice_recVLrTGQIsXWavzz.pdf (https://v5.airtableusercontent.com/v3/u/40/40/1745848800000/y2pRUHj0eu8_kdaftzzWhQ/xtVhumvgqfPQ2qpASG58wqQNgqVaUjp_XPHu0MojDguiux9eiMxAxkzVOogn1237SYXMR-ZkjAgyopbmpWUdxM4OkndeyO_Px0rMLu904kyHjnJ99VEcqlgURSWpB5qvW568JWjpRh8Qv7_EFgNwkt7ihgf28R_nnslSnEuZUKHKCrJmQk7YuQJ7_Vh9kyR_/7DiI_O49w2WLdYE1eCjCMLasqW354Ln9wC6CUGgqAHI),invoice,"

{
  ""total_gross"": 209.40,
  ""total_net"": 175.97,
  ""business_name"": ""Chito Gvrito"",
  ""items"": [
    {
      ""name"": ""Pils vom Fass 0,5"",
      ""price"": 5.20
    },
    {
      ""name"": ""Georgische Bier"",
      ""price"": 6.00
    },
    {
      ""name"": ""Tarchun 0,4"",
      ""price"": 6.50
    },
    {
      ""name"": ""tatara"",
      ""price"": 6.00
    },
    {
      ""name"": ""Vorspeise grok"",
      ""price"": 18.00
    },
    {
      ""name"": ""Brot"",
      ""price"": 3.00
    },
    {
      ""name"": ""04 Adjaruli"",
      ""price"": 17.50
    },
    {
      ""name"": ""Chakapuli"",
      ""price"": 18.50
    },
    {
      ""name"": ""Soko Kezse Kase"",
      ""price"": 14.00
    },
    {
      ""name"": ""Schachlik Schwein"",
      ""price"": 18.00
    },
    {
      ""name"": ""kartoffel"",
      ""price"": 6.00
    }
  ]
}
",90,Success: High similarity score
invoice_recegdkB6dUZaZREr,"{
  ""total_gross"": 146.71,
  ""total_net"": 134.80,
  ""business_name"": ""The Cloud One Hamburg-Kontorhaus"",
  ""items"": [
    {
      ""name"": ""Best Price including Breakfast"",
      ""price"": 146.71
    }
  ]
}",invoice_recegdkB6dUZaZREr.pdf (https://v5.airtableusercontent.com/v3/u/40/40/1745848800000/9tTwB5wWlqQ3_xor9TkBJA/3bhdOXUWbF3ZjS0DuetpXszCjfyuyjGjn64k1s7rv1A0dd5QP2GWV8O7WcMeY0INObpTMn7nG_kT4oEEwP_IuCC3mAIQ5QKD5dAdR6m4-BHdgJONTEnC9ez5ArvZ--iZ_QBj34aJumo6EKfNF9GeR1FLzkUe_XzMCMkpGciUNMaeWoc-57NyVO9bCPnJsbfz/wKrG0PDgiD19udHL9baN4CieDdtEQIyF9T4f5AtNKYM),invoice,"

{
  ""total_gross"": 119.00,
  ""total_net"": 111.21,
  ""business_name"": ""APImeister Consulting GmbH"",
  ""items"": [
    {
      ""name"": ""Breakfast (VAT 19%)"",
      ""price"": 70.59
    },
    {
      ""name"": ""FERRET DOG"",
      ""price"": 7.79
    },
    {
      ""name"": ""Kulturfirderabgabe"",
      ""price"": 3.00
    }
  ]
}
",26,
invoice_recp4HVkuHiEIxUGK,"{
  ""total_gross"": 64.99,
  ""total_net"": 54.61,
  ""business_name"": ""Deichmann SE"",
  ""items"": [
    {
      ""name"": ""Nike"",
      ""price"": 64.99
    }
  ]
}",invoice_recp4HVkuHiEIxUGK.pdf (https://v5.airtableusercontent.com/v3/u/40/40/1745848800000/Gzbv4luVuWsCZ1eSqlsgvQ/b3aQctX4RFKujPHm-6uyd5839PCTN8pVzrFWuZwtKm2_-xSy654QOQI0tqiNBZ3u9g8tm8vBcHmKN9X7rVZagBAf49g2NlZREiFoE5duhegRtVuG9PJZX9BgOU8_7v67zz-Y7pRa5BHSynsYZqoPIHeNVWQ7NLrx3a6zPYhRV6ESRoctzO3CNa2kPe5BxC-_/jQKqdqf3NCuNZRzCu5RGkNKifeNmoAQDqlfsNsvf4_w),invoice,"

{
  ""total_gross"": 64.99,
  ""total_net"": 54.61,
  ""business_name"": ""Deichmann SE"",
  ""items"": [
    {
      ""name"": ""Nike"",
      ""price"": 64.99
    }
  ]
}
",99,Success: High similarity score
invoice_recFZbWJ4SV9foXR5,"{
  ""total_gross"": 4.60,
  ""total_net"": 4.30,
  ""business_name"": ""dm-drogerie markt"",
  ""items"": [
    {
      ""name"": ""dmBio Grüner Tee Chun Mee"",
      ""price"": 2.65
    },
    {
      ""name"": ""Bad Heilbr. Mate Pur Tee"",
      ""price"": 1.95
    }
  ]
}",invoice_recFZbWJ4SV9foXR5.pdf (https://v5.airtableusercontent.com/v3/u/40/40/1745848800000/RmlJRR0PQt8s3aDgIhiYiQ/LG4zS-UAsZq2GpceAIXCbBUuNAhJ_XVYNtCGao7cHxaZSkkhSGv_6mOUxucF3S8O6Wp8b2kNa6NSxXJFe51j3JF_OvwIkiPGaNu9drOgY4o9wiOR3evuMTUb_2n9dic5-BYwTt5iSt_7GQTVMe1Kl5lMlw_YSSPEpNep8VKIC2GLsVp5npalYiGOn17UtxB2/E61PcyMXwjygsz0BQ0HY1AjMu-8hjvHumFbsA2NElik),invoice,"

{
  ""total_gross"": 4.60,
  ""total_net"": 4.30,
  ""business_name"": ""dm-drogerie markt"",
  ""items"": [
    {
      ""name"": ""dmBio Gruner Tee Chun Mee"",
      ""price"": 2.65
    },
    {
      ""name"": ""Bad Heilbr. Mate Pur Tee 27g"",
      ""price"": 1.95
    }
  ]
}
",98,Success: High similarity score
